random_n_100_inst_42 -236.42581 3600.0 qubo
random_n_100_inst_0 -239.35914347318203  best_found dneal
random_n_100_inst_1 -244.6768303299725  best_found dneal
random_n_100_inst_2 -237.94991417926917  best_found dneal
random_n_100_inst_3 -229.0286482671616  best_found dneal
random_n_100_inst_4 -240.79076539872975  best_found dneal
random_n_100_inst_5 -234.14169218440466  best_found dneal
random_n_100_inst_6 -235.30664077017937  best_found dneal
random_n_100_inst_7 -232.11016169139324  best_found dneal
random_n_100_inst_8 -229.48527715264328  best_found dneal
random_n_100_inst_9 -235.0698961160038  best_found dneal
random_n_100_inst_10 -238.98223206453994  best_found dneal
random_n_100_inst_11 -233.88761005060346  best_found dneal
random_n_100_inst_12 -234.55893081480934  best_found dneal
random_n_100_inst_13 -231.57065159713682  best_found dneal
random_n_100_inst_14 -228.62709805424498  best_found dneal
random_n_100_inst_15 -237.50345569852382  best_found dneal
random_n_100_inst_16 -230.31178048393159  best_found dneal
random_n_100_inst_17 -239.20294475016712  best_found dneal
random_n_100_inst_18 -248.82525955740581  best_found dneal
random_n_100_inst_19 -239.7094652034834  best_found dneal
random_n_100_inst_42 -236.4258051878277  best_found dneal
random_n_100_inst_0 -239.35913 best_found pysa
random_n_100_inst_1 -244.676815 best_found pysa
random_n_100_inst_2 -237.94993499999998 best_found pysa
random_n_100_inst_3 -229.028613 best_found pysa
random_n_100_inst_4 -240.79075799999998 best_found pysa
random_n_100_inst_5 -234.141681 best_found pysa
random_n_100_inst_6 -235.306584 best_found pysa
random_n_100_inst_7 -232.11015899999998 best_found pysa
random_n_100_inst_8 -229.485278 best_found pysa
random_n_100_inst_9 -235.069885 best_found pysa
random_n_100_inst_10 -238.982212 best_found pysa
random_n_100_inst_11 -233.88761800000003 best_found pysa
random_n_100_inst_12 -234.5589 best_found pysa
random_n_100_inst_13 -231.57065 best_found pysa
random_n_100_inst_14 -228.627116 best_found pysa
random_n_100_inst_15 -237.50345 best_found pysa
random_n_100_inst_16 -230.311761 best_found pysa
random_n_100_inst_17 -239.20296199999999 best_found pysa
random_n_100_inst_18 -248.82524700000002 best_found pysa
random_n_100_inst_19 -239.70947600000002 best_found pysa
random_n_100_inst_42 -236.425821 best_found pysa
random_n_200_inst_0 -656.9322963553669  best_found dneal
random_n_200_inst_1 -655.6190601697227  best_found dneal
random_n_200_inst_2 -663.8925260468914  best_found dneal
random_n_200_inst_3 -665.1943869383922  best_found dneal
random_n_200_inst_4 -665.7520309394164  best_found dneal
random_n_200_inst_5 -657.7846173714423  best_found dneal
random_n_200_inst_6 -663.8323569822926  best_found dneal
random_n_200_inst_7 -662.5226491743764  best_found dneal
random_n_200_inst_8 -658.5824229184017  best_found dneal
random_n_200_inst_9 -655.0098930598606  best_found dneal
random_n_200_inst_10 -649.8713648658621  best_found dneal
random_n_200_inst_11 -640.4127668415334  best_found dneal
random_n_200_inst_12 -663.2751803685883  best_found dneal
random_n_200_inst_13 -660.4652568729581  best_found dneal
random_n_200_inst_14 -654.135131804846  best_found dneal
random_n_200_inst_15 -642.6671618980926  best_found dneal
random_n_200_inst_16 -646.8226233147024  best_found dneal
random_n_200_inst_17 -667.0926033957477  best_found dneal
random_n_200_inst_18 -659.5479248801553  best_found dneal
random_n_200_inst_19 -653.5136236715513  best_found dneal
random_n_200_inst_42 -653.956719640045  best_found dneal
