,resource,iterations,shots,rounds
0,100.0,1.0,100.0,1.0
1,113.0,1.0,100.0,1.0
2,127.0,1.0,100.0,1.0
3,143.0,1.0,100.0,1.0
4,162.0,1.0,100.0,1.0
5,183.0,1.0,100.0,1.0
6,206.0,1.5,100.0,1.0
7,232.0,2.0,100.0,1.0
8,262.0,2.0,100.0,1.0
9,295.0,2.0,100.0,1.0
10,333.0,3.0,100.0,1.0
11,376.0,3.0,100.0,1.0
12,424.0,4.0,100.0,1.5
13,478.0,4.0,100.0,1.5
14,539.0,4.0,100.0,2.0
15,608.0,6.0,100.0,1.0
16,686.0,6.0,100.0,1.0
17,774.0,7.0,100.0,1.0
18,873.0,8.0,100.0,1.0
19,985.0,9.0,100.0,1.0
20,1111.0,11.0,100.0,1.0
21,1253.0,12.0,100.0,1.0
22,1413.0,14.0,100.0,1.0
23,1594.0,14.5,100.0,2.0
24,1798.0,17.0,100.0,2.0
25,2028.0,19.0,100.0,2.0
26,2288.0,21.0,100.0,2.0
27,2580.0,20.5,100.0,2.0
28,2910.0,20.0,100.0,2.0
29,3283.0,19.0,100.0,2.0
30,3703.0,19.0,100.0,2.0
31,4176.0,21.0,100.0,2.0
32,4711.0,23.5,100.0,2.0
33,5313.0,26.5,100.0,2.0
34,5993.0,29.0,100.0,3.5
35,6760.0,28.0,100.0,3.5
36,7625.0,28.0,100.0,3.5
37,8600.0,28.0,100.0,3.5
38,9700.0,27.0,100.0,3.5
39,10941.0,27.0,100.0,3.5
40,12341.0,28.5,100.0,5.0
41,13920.0,30.0,100.0,5.0
42,15701.0,30.0,100.0,5.0
43,17709.0,30.0,100.0,5.0
44,19975.0,30.0,100.0,5.0
45,22530.0,30.0,100.0,5.0
46,25413.0,30.0,100.0,5.0
47,28664.0,30.0,100.0,5.0
48,32331.0,30.0,100.0,5.0
49,36467.0,30.0,100.0,5.0
50,41133.0,30.0,100.0,5.0
51,46395.0,30.0,100.0,5.0
52,52330.0,30.0,100.0,5.0
53,59025.0,30.0,100.0,5.0
54,66576.0,30.0,100.0,5.0
55,75094.0,30.0,100.0,5.0
56,84701.0,30.0,100.0,5.0
57,95537.0,30.0,100.0,5.0
58,107760.0,28.5,150.0,5.0
59,121546.0,29.0,150.0,5.0
60,137096.0,29.0,150.0,5.0
61,154635.0,30.0,150.0,5.0
62,174418.0,28.5,150.0,5.0
63,196732.0,28.5,150.0,5.0
64,221900.0,29.0,200.0,5.0
65,250289.0,29.0,200.0,5.0
66,282310.0,29.0,200.0,5.0
67,318427.0,29.0,200.0,5.0
68,359164.0,29.0,200.0,5.0
69,405114.0,29.0,200.0,5.0
70,456941.0,28.0,200.0,5.0
71,515400.0,29.0,200.0,5.0
72,581337.0,29.0,200.0,5.0
73,655710.0,29.0,500.0,5.0
74,739597.0,29.0,500.0,5.0
75,834217.0,29.0,500.0,5.0
76,940942.0,29.0,500.0,5.0
77,1061320.0,29.0,500.0,5.0
78,1197099.0,29.0,500.0,5.0
79,1350249.0,30.0,500.0,5.0
80,1522992.0,30.0,500.0,5.0
81,1717835.0,30.0,1000.0,5.0
82,1937604.0,30.0,1000.0,5.0
83,2185490.0,30.0,1000.0,5.0
84,2465089.0,30.0,1000.0,5.0
85,2780458.0,30.0,1000.0,5.0
86,3136173.0,30.0,1000.0,5.0
87,3537396.0,30.0,2000.0,5.0
88,3989950.0,30.0,2000.0,5.0
89,4500400.0,30.0,2000.0,5.0
90,5076155.0,30.0,2000.0,5.0
91,5725568.0,30.0,2000.0,5.0
92,6458064.0,30.0,5000.0,5.0
93,7284270.0,30.0,5000.0,5.0
94,8216176.0,30.0,5000.0,5.0
95,9267306.0,30.0,5000.0,5.0
96,10452910.0,30.0,5000.0,5.0
97,11790193.0,30.0,5000.0,5.0
98,13298561.0,30.0,5000.0,5.0
99,14999900.0,30.0,5000.0,5.0
