resource,iterations,shots,rounds
100,1.0,100.0,1.0
113,1.0,100.0,1.0
127,1.0,100.0,1.0
143,1.0,100.0,1.0
162,1.0,100.0,1.0
183,1.0,100.0,1.0
206,1.5,100.0,1.0
232,1.75,100.0,1.0
262,1.75,100.0,1.0
295,1.75,100.0,1.0
333,3.0,100.0,1.0
376,3.0,100.0,1.0
424,4.0,100.0,2.0
478,4.0,100.0,2.0
539,4.5,100.0,2.0
608,4.75,100.0,1.5
686,5.0,100.0,1.75
774,7.0,100.0,1.0
873,8.0,100.0,1.0
985,9.0,100.0,1.0
1111,10.75,100.0,1.0
1253,12.0,100.0,1.25
1413,14.0,100.0,1.75
1594,14.75,100.0,2.0
1798,17.0,100.0,2.0
2028,19.0,100.0,2.0
2288,20.75,100.0,2.0
2580,20.75,100.0,2.0
2910,20.0,100.0,2.0
3283,18.75,100.0,2.0
3703,19.5,100.0,2.0
4176,21.75,100.0,2.0
4711,23.5,100.0,2.0
5313,25.0,100.0,2.0
5993,28.25,100.0,2.0
6760,27.25,100.0,2.0
7625,27.25,100.0,2.0
8600,23.75,100.0,2.0
9700,21.75,100.0,2.0
10941,24.75,100.0,2.75
12341,28.25,100.0,4.25
13920,29.5,100.0,5.0
15701,29.75,100.0,5.0
17709,29.75,100.0,5.0
19975,29.75,100.0,5.0
22530,29.75,100.0,5.0
25413,30.0,100.0,5.0
28664,30.0,100.0,5.0
32331,30.0,100.0,5.0
36467,30.0,100.0,5.0
41133,30.0,100.0,5.0
46395,30.0,100.0,5.0
52330,30.0,100.0,5.0
59025,29.75,100.0,5.0
66576,30.0,100.0,5.0
75094,30.0,125.0,5.0
84701,29.75,125.0,5.0
95537,29.75,150.0,5.0
107760,28.75,175.0,5.0
121546,29.75,175.0,5.0
137096,29.75,175.0,5.0
154635,29.75,175.0,5.0
174418,28.75,175.0,5.0
196732,28.75,175.0,5.0
221900,28.75,175.0,5.0
250289,28.75,175.0,5.0
282310,28.25,175.0,5.0
318427,29.0,175.0,5.0
359164,29.0,175.0,5.0
405114,28.5,175.0,5.0
456941,28.0,175.0,5.0
515400,28.5,175.0,5.0
581337,29.0,175.0,5.0
655710,29.0,175.0,5.0
739597,29.0,450.0,5.0
834217,29.0,450.0,5.0
940942,29.0,450.0,5.0
1061320,29.0,450.0,5.0
1197099,29.0,450.0,5.0
1350249,29.0,450.0,5.0
1522992,29.25,450.0,5.0
1717835,29.25,450.0,5.0
1937604,29.25,450.0,5.0
2185490,29.25,450.0,5.0
2465089,29.25,450.0,5.0
2780458,29.25,450.0,5.0
3136173,29.25,450.0,5.0
3537396,29.25,450.0,5.0
3989950,29.25,925.0,5.0
4500400,29.25,925.0,5.0
5076155,29.25,925.0,5.0
5725568,29.25,925.0,5.0
6458064,29.25,925.0,5.0
7284270,29.25,925.0,5.0
8216176,29.25,925.0,5.0
9267306,29.25,925.0,5.0
10452910,29.25,925.0,5.0
11790193,29.25,925.0,5.0
13298561,29.25,925.0,5.0
14999900,29.25,925.0,5.0
