,resource,iteration,samples
0,1,1.0,1.0
1,2,2.0,1.0
2,3,3.0,1.0
3,4,4.0,1.0
4,5,5.0,1.0
5,6,6.0,1.0
6,7,7.0,1.0
7,8,8.0,1.0
8,9,9.0,1.0
9,10,10.0,1.0
10,11,11.0,1.0
11,12,12.0,1.0
12,13,13.0,1.0
13,15,15.0,1.0
14,31,15.0,1.0
15,41,15.0,1.0
16,50,15.0,1.0
17,60,15.0,1.0
18,73,15.0,1.0
19,80,15.0,1.0
20,142,14.0,10.0
21,156,15.0,10.0
22,207,15.0,10.0
23,302,15.0,10.0
24,401,15.0,10.0
25,707,15.0,10.0
26,940,15.0,10.0
27,1033,15.0,10.0
28,1135,11.0,100.0
29,1248,12.0,100.0
30,1508,15.0,100.0
31,2003,15.0,100.0
32,5160,15.0,100.0
33,6235,15.0,100.0
34,8282,15.0,100.0
35,9104,15.0,100.0
36,10007,15.0,100.0
37,11001,11.0,1000.0
38,12093,12.0,1000.0
39,13293,13.0,1000.0
40,14612,14.0,1000.0
