resource,iteration,samples
1,1.0,1.0
2,2.0,1.0
3,3.0,1.0
4,4.0,1.0
5,5.0,1.0
6,6.0,1.0
7,7.0,1.0
8,8.0,1.0
9,9.0,1.0
10,10.0,1.0
11,11.0,1.0
12,12.0,1.0
13,13.0,1.0
15,15.0,1.0
31,9.333333333333334,4.0
41,9.666666666666666,4.0
50,8.333333333333334,7.0
60,9.0,7.0
73,9.666666666666666,7.0
80,10.333333333333334,7.0
142,14.0,10.0
156,15.0,10.0
207,8.333333333333334,40.0
302,8.666666666666666,40.0
401,9.0,40.0
707,9.666666666666666,70.0
940,9.0,100.0
1033,10.0,100.0
1135,11.0,100.0
1248,12.0,100.0
1508,15.0,100.0
2003,9.0,400.0
5160,8.333333333333334,700.0
6235,9.0,700.0
8282,10.333333333333334,700.0
9104,9.0,1000.0
10007,10.0,1000.0
11001,11.0,1000.0
12093,12.0,1000.0
13293,13.0,1000.0
14612,14.0,1000.0
