,12,16,20,24,28,32,36,40,44
0,2,3,6,2,28,7,25,189,844
1,2,4,5,2,6,12,27,37,4203
2,2,1,5,3,6,6,7,112,241
3,2,3,3,4,19,21,7,10,30
4,3,3,2,4,23,11,16,20,196
5,1,3,3,3,8,4,23,29,148
6,5,4,2,12,3,25,5,23,869
7,2,2,3,2,2,17,30,47,434
8,2,3,2,4,2,39,26,156,1787
9,1,1,11,2,20,10,15,165,972
10,2,4,4,4,4,5,133,23,242
11,3,2,6,4,3,7,9,84,2408
12,3,3,3,13,3,11,13,32,2734
13,2,3,4,21,6,3,15,1680,450
14,1,2,5,9,16,115,11,1700,42
15,2,4,2,3,24,218,7,9,109
16,2,2,2,2,56,9,27,199,1341
17,2,1,10,3,5,20,10,8,60
18,1,5,2,17,7,15,137,27,275
19,2,1,2,3,4,31,91,54,67
