,prob,eng
0,6.666666666666667e-05,-758.63524
1,6.666666666666667e-05,-714.63524
2,3.3333333333333335e-05,-705.61988
3,3.3333333333333335e-05,-702.62486
4,3.3333333333333335e-05,-701.51433
5,0.00013333333333333334,-695.28036
6,3.3333333333333335e-05,-695.23307
7,3.3333333333333335e-05,-694.21628
8,3.3333333333333335e-05,-692.01058
9,3.3333333333333335e-05,-687.9516
10,3.3333333333333335e-05,-687.85506
11,3.3333333333333335e-05,-685.14426
12,3.3333333333333335e-05,-683.00545
13,6.666666666666667e-05,-682.58118
14,0.0003333333333333333,-680.53518
15,3.3333333333333335e-05,-678.65336
16,3.3333333333333335e-05,-676.92935
17,0.0003,-676.6917
18,3.3333333333333335e-05,-673.03649
19,0.00016666666666666666,-672.77061
20,0.0002666666666666667,-672.75869
21,3.3333333333333335e-05,-672.20056
22,3.3333333333333335e-05,-671.76704
23,3.3333333333333335e-05,-671.61682
24,3.3333333333333335e-05,-671.3718
25,3.3333333333333335e-05,-670.95471
26,6.666666666666667e-05,-670.89404
27,3.3333333333333335e-05,-670.57052
28,3.3333333333333335e-05,-670.52584
29,0.0010666666666666667,-670.32386
30,3.3333333333333335e-05,-669.75483
31,6.666666666666667e-05,-669.64558
32,3.3333333333333335e-05,-669.50253
33,3.3333333333333335e-05,-668.89088
34,0.0001,-668.75496
35,0.0011666666666666668,-668.58987
36,3.3333333333333335e-05,-667.43751
37,0.00046666666666666666,-667.17284
38,3.3333333333333335e-05,-666.54381
39,3.3333333333333335e-05,-665.59862
40,3.3333333333333335e-05,-665.59494
41,3.3333333333333335e-05,-665.38761
42,0.00016666666666666666,-665.36261
43,3.3333333333333335e-05,-664.58421
44,3.3333333333333335e-05,-664.42112
45,3.3333333333333335e-05,-664.24925
46,6.666666666666667e-05,-663.69212
47,6.666666666666667e-05,-663.66142
48,3.3333333333333335e-05,-663.48767
49,0.00016666666666666666,-663.3466
50,3.3333333333333335e-05,-663.29928
51,3.3333333333333335e-05,-663.2989
52,3.3333333333333335e-05,-663.15951
53,3.3333333333333335e-05,-663.04356
54,6.666666666666667e-05,-662.99965
55,3.3333333333333335e-05,-662.87143
56,6.666666666666667e-05,-662.41234
57,3.3333333333333335e-05,-662.26762
58,3.3333333333333335e-05,-661.99963
59,3.3333333333333335e-05,-661.7453
60,3.3333333333333335e-05,-661.64098
61,0.00023333333333333333,-661.46556
62,3.3333333333333335e-05,-661.02267
63,3.3333333333333335e-05,-659.96037
64,3.3333333333333335e-05,-659.82217
65,3.3333333333333335e-05,-659.62523
66,0.0001,-659.56145
67,0.0001,-659.5012
68,0.00016666666666666666,-659.22438
69,6.666666666666667e-05,-659.18005
70,0.00013333333333333334,-659.05665
71,3.3333333333333335e-05,-658.91447
72,0.00013333333333333334,-658.83199
73,3.3333333333333335e-05,-658.59403
74,0.0002666666666666667,-658.49893
75,3.3333333333333335e-05,-658.43945
76,6.666666666666667e-05,-658.01569
77,0.0002666666666666667,-657.97772
78,0.00016666666666666666,-657.95145
79,3.3333333333333335e-05,-657.82665
80,3.3333333333333335e-05,-657.49874
81,0.00013333333333333334,-657.48998
82,3.3333333333333335e-05,-657.35884
83,3.3333333333333335e-05,-657.26696
84,6.666666666666667e-05,-657.23397
85,6.666666666666667e-05,-657.04497
86,0.0001,-657.01739
87,3.3333333333333335e-05,-656.6506
88,0.00013333333333333334,-656.61417
89,3.3333333333333335e-05,-656.57815
90,3.3333333333333335e-05,-656.40054
91,0.0001,-656.17354
92,3.3333333333333335e-05,-655.86808
93,3.3333333333333335e-05,-655.69886
94,0.0003,-655.6766
95,0.0001,-655.66876
96,6.666666666666667e-05,-655.62999
97,6.666666666666667e-05,-655.48552
98,6.666666666666667e-05,-655.34299
99,0.0001,-654.83371
100,0.0006333333333333333,-654.79537
101,0.00023333333333333333,-654.63642
102,3.3333333333333335e-05,-654.51545
103,3.3333333333333335e-05,-654.4834
104,3.3333333333333335e-05,-654.45674
105,0.0001,-654.385
106,3.3333333333333335e-05,-654.23952
107,6.666666666666667e-05,-654.17418
108,3.3333333333333335e-05,-654.15761
109,6.666666666666667e-05,-654.11177
110,3.3333333333333335e-05,-653.70345
111,3.3333333333333335e-05,-653.49238
112,6.666666666666667e-05,-653.11302
113,0.00016666666666666666,-652.85312
114,0.00013333333333333334,-652.68169
115,0.00013333333333333334,-652.23055
116,3.3333333333333335e-05,-652.05841
