,12,16,20,24,28,32,36,40,44
0,"(1, 2.0, 1, 0.5, 0.29)","(1, 1.0, 1, 0.5, 0.29)","(1, 2.0, 1, 0.5, 0.29)","(1, 1.0, 1, 0.5, 0.27)","(1, 2.5, 1, 0.5, 0.29)","(1, 3.0, 1, 0.5, 0.27)","(1, 4.0, 1, 0.5, 0.29)","(1, 4.0, 1, 0.5, 0.29)","(1, 4.0, 1, 0.5, 0.27)"
1,"(2, 2.0, 1, 0.5, 0.31)","(2, 2.5, 1, 0.5, 0.29)","(2, 1.5, 1, 0.5, 0.27)","(2, 1.5, 1, 0.5, 0.25)","(2, 3.5, 1, 0.5, 0.29)","(2, 3.0, 1, 0.5, 0.25)","(2, 3.0, 1, 0.5, 0.31)","(2, 3.0, 1, 0.5, 0.25)","(2, 3.0, 1, 0.5, 0.27)"
2,"(3, 2.0, 1, 0.5, 0.33)","(3, 1.5, 1, 0.5, 0.29)","(3, 2.0, 1, 0.5, 0.31)","(3, 2.0, 1, 0.5, 0.29)","(3, 4.0, 1, 0.5, 0.27)","(3, 1.5, 1, 0.5, 0.27)","(3, 3.5, 1, 0.5, 0.27)","(3, 2.0, 1, 0.5, 0.29)","(3, 3.0, 1, 0.5, 0.31)"
3,"(4, 1.5, 1, 0.5, 0.29)","(4, 1.5, 1, 0.5, 0.29)","(4, 2.5, 1, 0.5, 0.31)","(4, 3.0, 1, 0.5, 0.27)","(4, 3.0, 1, 0.5, 0.31)","(4, 2.5, 1, 0.5, 0.27)","(4, 2.5, 1, 0.5, 0.31)","(4, 2.0, 1, 0.5, 0.33)","(4, 4.0, 1, 0.5, 0.29)"
4,"(5, 1.5, 1, 0.5, 0.29)","(5, 1.5, 1, 0.5, 0.31)","(5, 2.0, 1, 0.5, 0.29)","(5, 1.0, 1, 0.5, 0.27)","(5, 2.0, 1, 0.5, 0.25)","(5, 1.0, 1, 0.5, 0.27)","(5, 2.5, 1, 0.5, 0.29)","(5, 3.0, 1, 0.5, 0.29)","(5, 3.5, 1, 0.5, 0.27)"
5,"(6, 1.0, 1, 0.5, 0.35)","(6, 2.0, 1, 0.5, 0.31)","(6, 2.0, 1, 0.5, 0.29)","(6, 1.0, 1, 0.5, 0.29)","(6, 2.5, 1, 0.5, 0.29)","(6, 2.0, 1, 0.5, 0.29)","(6, 3.5, 1, 0.5, 0.29)","(6, 2.5, 1, 0.5, 0.25)","(6, 3.0, 1, 0.5, 0.29)"
6,"(7, 1.0, 1, 0.5, 0.45)","(7, 2.5, 1, 0.5, 0.31)","(7, 2.0, 1, 0.5, 0.27)","(7, 2.0, 1, 0.5, 0.35)","(7, 2.5, 1, 0.5, 0.29)","(7, 3.0, 1, 0.5, 0.47)","(7, 3.5, 1, 0.5, 0.29)","(7, 3.0, 1, 0.5, 0.31)","(7, 3.5, 1, 0.5, 0.31)"
7,"(8, 2.0, 1, 0.5, 0.31)","(8, 1.0, 1, 0.5, 0.31)","(8, 2.5, 1, 0.5, 0.29)","(8, 2.0, 1, 0.5, 0.29)","(8, 1.5, 1, 0.5, 0.29)","(8, 2.5, 1, 0.5, 0.31)","(8, 2.5, 1, 0.5, 0.31)","(8, 3.0, 1, 0.5, 0.29)","(8, 3.0, 1, 0.5, 0.27)"
8,"(9, 2.0, 1, 0.5, 0.31)","(9, 1.0, 1, 0.5, 0.27)","(9, 1.0, 1, 0.5, 0.29)","(9, 2.0, 1, 0.5, 0.29)","(9, 2.0, 1, 0.5, 0.27)","(9, 3.5, 1, 0.5, 0.31)","(9, 3.0, 1, 0.5, 0.29)","(9, 3.0, 1, 0.5, 0.29)","(9, 4.0, 1, 0.5, 0.29)"
9,"(10, 1.0, 1, 0.5, 0.33)","(10, 1.5, 1, 0.5, 0.31)","(10, 2.0, 1, 0.5, 0.27)","(10, 1.0, 1, 0.5, 0.33)","(10, 3.0, 1, 0.5, 0.29)","(10, 1.5, 1, 0.5, 0.35)","(10, 3.0, 1, 0.5, 0.29)","(10, 3.5, 1, 0.5, 0.27)","(10, 3.5, 1, 0.5, 0.29)"
